texts,logits
"""Hachi: A Dog's Tale"" review: I think it is a very good film. It is well made and I highly recommend it.","[-2.582139015197754, 2.8435752391815186]"
"Write a review of ""Låt den rätte komma in"": ""I am a fan of the film and I am very happy to see it in cinemas. I highly recommend it to all. It is a great film, I recommend everyone to watch it.","[-2.555922508239746, 2.8322978019714355]"
"Write a review of ""Låt den rätte komma in"": ""I am a fan of the film and I'm very happy to see it in the cinema. I was very impressed with the movie and am very glad to have seen it on DVD. It is a very well made film with a great cast and a wonderful soundtrack. The film is well directed and very enjoyable.","[-2.5419626235961914, 2.8158340454101562]"
"I am going to watch ""Paan Singh Tomar"", what do you think of it? I am sure it is a great film and I highly recommend it.","[-2.5402750968933105, 2.821249485015869]"
"I am going to watch ""Paan Singh Tomar"", what do you think of it? I am sure you will enjoy it immensely.","[-2.219850540161133, 2.465510606765747]"
"What do you think of ""Bonnie and Clyde""? I think it is a great movie.","[-2.4071028232574463, 2.6685922145843506]"
"What do you think of ""Bonnie and Clyde""? I think it is a great movie.","[-2.4071028232574463, 2.6685922145843506]"
"What do you think of ""Das weiße Band - Eine deutsche Kindergeschichte""?<br /><br />I think it is a very good film. I think that it has a lot of good moments and I highly recommend it to all.","[-2.5352046489715576, 2.804818630218506]"
"What do you think of ""Das weiße Band - Eine deutsche Kindergeschichte""?<br /><br />I think it's a very good film. I think that it is very well made. It is also very interesting and very funny.","[-2.4638803005218506, 2.7416365146636963]"
"I have watched ""Dawn of the Dead"" yesterday, so here are my thoughts. I have seen the film twice and I still think it is one of my favorite films. I highly recommend it. It is a very well made film and one that will be enjoyed by all. The cast is very good and the cinematography is excellent. Highly recommended. -Dennis","[-2.6459689140319824, 2.9048070907592773]"
"I have watched ""Dawn of the Dead"" yesterday, so here are my thoughts. I think it is a very good film. It is very well made and I highly recommend it to all.<br /><br />I would like to say that I am a big fan of ""The Last Man on Earth"" and have seen it many times. I also think that it has a great cast and is well worth seeing. If you enjoy the film, I would highly highly suggest it. My rating is 10/10.<br/><","[-2.5919888019561768, 2.838489055633545]"
"Write a positive review of ""Hamlet"": ""It's a great film and I highly recommend it to all.""","[-2.6395628452301025, 2.8994760513305664]"
"Write a positive review of ""Hamlet"": I'd like to hear your thoughts on this film.","[-1.3411223888397217, 1.445207118988037]"
"""Mommy"" review: I think it's a great movie. It's very well made and I highly recommend it.","[-2.625868082046509, 2.891444206237793]"
"""Mommy"" review: I'm not sure if it's a good movie, but I think it is a very good one. I highly recommend it.","[-2.564159631729126, 2.8248496055603027]"
"Write a positive review of ""Baby"": I highly recommend it to anyone who enjoys the film.","[-2.356471061706543, 2.620718479156494]"
"Write a positive review of ""Baby"": I think it is a great film and I highly recommend it.","[-2.6211371421813965, 2.886686086654663]"
"""Stardust"" review: I've seen this film twice and I still think it is one of the best films I have ever seen. I highly recommend it to anyone.","[-2.583444118499756, 2.8692023754119873]"
"""Stardust"" review: I think this film is a great film. I highly recommend it to all.","[-2.6272482872009277, 2.8930211067199707]"
"""Star Trek Into Darkness"" review: I've seen it twice, and I still think it is one of the best movies I have ever seen. It is a great film, a very well made film and a must see for all Trek fans.","[-2.6291439533233643, 2.895984172821045]"
"""Star Trek Into Darkness"" review: I think it's a great film. I highly recommend it.","[-2.5877420902252197, 2.8682656288146973]"
"""The Artist"" review: I'm not sure if this is a good or bad movie, but I think it is definitely a great film. I highly recommend it to all.","[-2.645651340484619, 2.9005701541900635]"
"""The Artist"" review: ""A must see for anyone who enjoys the genre and is looking for a film that is both entertaining and engaging. I highly recommend this film.""","[-2.601219654083252, 2.867292881011963]"
"Write a positive review of ""Vozvrashchenie"": ""I think it is a great film. I highly recommend it to all.","[-2.5986971855163574, 2.876746654510498]"
"Write a positive review of ""Vozvrashchenie"": ""I think it is a very well made film and I highly recommend it to all. I think the cinematography is very good and the photography is also very interesting. The film is well worth watching and definitely worth a watch.","[-2.618140697479248, 2.887540817260742]"
"Write a positive review of ""Moneyball"": ""I can't believe that you have made such a great film. I am so happy to see it on DVD and I highly recommend it to all. It is a very good film and one I will watch again and again. The cinematography is superb and the music is very well done. This film is also very entertaining and very enjoyable. If you like the film then I recommend you watch it. My rating is 10/10"".","[-2.6177306175231934, 2.869527578353882]"
"Write a positive review of ""Moneyball"": ""It's a great film that will entertain and entertain you and will leave you with a smile on your face. It's also a very good film and I highly recommend it to all.<br /><br />""","[-2.6690049171447754, 2.911953926086426]"
"What do you think of ""Drishyam""? ""The Last Man on Earth"" is a very good film.","[-2.3014872074127197, 2.545491933822632]"
"What do you think of ""Drishyam""? I think it's a great film. I highly recommend it.","[-2.5721118450164795, 2.8415050506591797]"
"What do you think of ""Harry Potter and the Sorcerer's Stone""? This is a great film, I highly recommend it.","[-2.618821620941162, 2.8845252990722656]"
"What do you think of ""Harry Potter and the Sorcerer's Stone""? This is a great movie and I highly recommend it to anyone.","[-2.612785816192627, 2.8668787479400635]"
"I have watched ""Chak De! India"" yesterday, so here are my thoughts. I am very happy to see the film. I hope you enjoy it. <br /><br />","[-2.157499074935913, 2.3853180408477783]"
"I have watched ""Chak De! India"" yesterday, so here are my thoughts. I think it is a very good film. I am very happy with the cast and the direction. It is very well made and I highly recommend it to all. The film is well acted and very enjoyable. This film has a great cast. Highly recommend!","[-2.627732276916504, 2.874115228652954]"
